measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,Djibouti,Male,All Ages,Substance use disorders,Percent,1990,0.02057464006144158,0.02517057306426794,0.01679109377768887
Prevalence,Djibouti,Female,All Ages,Substance use disorders,Percent,1990,0.007674884235474869,0.009408183019209674,0.006254381801642468
Prevalence,Djibouti,Both,All Ages,Substance use disorders,Percent,1990,0.014574511456701881,0.017726290163462506,0.011961603498274615
Prevalence,Marshall Islands,Male,All Ages,Substance use disorders,Percent,1990,0.015948907718151294,0.020318916195210604,0.012911737941178942
Prevalence,Marshall Islands,Female,All Ages,Substance use disorders,Percent,1990,0.008286946900212373,0.010360994852157926,0.006651701610630666
Prevalence,Marshall Islands,Both,All Ages,Substance use disorders,Percent,1990,0.01216698807307813,0.015396788806093843,0.009937601497788667
Prevalence,Grenada,Male,All Ages,Substance use disorders,Percent,1990,0.029631912220968306,0.034733762878529306,0.02519838066972793
Prevalence,Grenada,Female,All Ages,Substance use disorders,Percent,1990,0.01288878761410969,0.015823608433667112,0.010569193087958912
Prevalence,Grenada,Both,All Ages,Substance use disorders,Percent,1990,0.021055742787590384,0.024756103214970716,0.01781919707628703
Prevalence,Benin,Male,All Ages,Substance use disorders,Percent,1990,0.006601359675789798,0.007773593584509308,0.005581244154841564
Prevalence,Benin,Female,All Ages,Substance use disorders,Percent,1990,0.0050980818967825406,0.006174378796560272,0.004221274302881783
Prevalence,Benin,Both,All Ages,Substance use disorders,Percent,1990,0.005827877080931682,0.006872068996239064,0.004932329703808124
Prevalence,Finland,Male,All Ages,Substance use disorders,Percent,1990,0.04577277972748966,0.05334060781393772,0.0392601981938358
Prevalence,Finland,Female,All Ages,Substance use disorders,Percent,1990,0.019928250762035523,0.02291892366397077,0.017155291600383114
Prevalence,Finland,Both,All Ages,Substance use disorders,Percent,1990,0.032147863267209115,0.03653399114858478,0.02821174628640403
Prevalence,Canada,Male,All Ages,Substance use disorders,Percent,1990,0.0532170980448451,0.05947264931390453,0.047434100939544394
Prevalence,Canada,Female,All Ages,Substance use disorders,Percent,1990,0.027443006898028,0.0309179409362678,0.024476633542594703
Prevalence,Canada,Both,All Ages,Substance use disorders,Percent,1990,0.03980190893026266,0.04410419621520247,0.03582881884505957
Prevalence,Sudan,Male,All Ages,Substance use disorders,Percent,1990,0.007957088081535972,0.009684255181579709,0.006566359040473269
Prevalence,Sudan,Female,All Ages,Substance use disorders,Percent,1990,0.004115739132237241,0.004942970755986195,0.0034115821303140593
Prevalence,Sudan,Both,All Ages,Substance use disorders,Percent,1990,0.006038616913278097,0.0072405829712059045,0.005051390763072676
Prevalence,Peru,Male,All Ages,Substance use disorders,Percent,1990,0.024362108882807477,0.028008265089763038,0.020881998247890988
Prevalence,Peru,Female,All Ages,Substance use disorders,Percent,1990,0.012762508086036444,0.015284545003945018,0.010634145546209652
Prevalence,Peru,Both,All Ages,Substance use disorders,Percent,1990,0.01845540326077226,0.021139588045217723,0.015798656000304598
Prevalence,Micronesia (Federated States of),Male,All Ages,Substance use disorders,Percent,1990,0.016530265169459633,0.02073950380561256,0.013418794691882195
