"Region","Year","Age Range","Illicit Drug Use","Measure Type","Variable","Value"
"Connecticut","2004-2006","12-17","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",3.17
"Connecticut","2004-2006","12-17","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",0.78
"Connecticut","2004-2006","12-17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",5.48
"Connecticut","2004-2006","12-17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",1.1
"Connecticut","2004-2006","12-17","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",10.41
"Connecticut","2004-2006","12-17","Illicit Drug Use in the Past Month","Percent","Margins of Error",1.49
"Connecticut","2004-2006","12-17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",4.59
"Connecticut","2004-2006","12-17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",0.89
"Connecticut","2004-2006","18-25","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",8.53
"Connecticut","2004-2006","18-25","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",1.6
"Connecticut","2004-2006","18-25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",11.94
"Connecticut","2004-2006","18-25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",1.91
"Connecticut","2004-2006","18-25","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",26.08
"Connecticut","2004-2006","18-25","Illicit Drug Use in the Past Month","Percent","Margins of Error",2.82
"Connecticut","2004-2006","18-25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",10.52
"Connecticut","2004-2006","18-25","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",1.91
"Connecticut","2004-2006","Over 17","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",2.19
"Connecticut","2004-2006","Over 17","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",0.42
"Connecticut","2004-2006","Over 17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",2.92
"Connecticut","2004-2006","Over 17","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",0.52
"Connecticut","2004-2006","Over 17","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",8.67
"Connecticut","2004-2006","Over 17","Illicit Drug Use in the Past Month","Percent","Margins of Error",1.13
"Connecticut","2004-2006","Over 17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Illicit Drug Use",3.62
"Connecticut","2004-2006","Over 17","Illicit Drug Use Other Than Marijuana in the Past Month","Percent","Margins of Error",0.67
"Connecticut","2004-2006","Over 25","Illicit Drug Dependence in the Past Year","Percent","Illicit Drug Use",1.22
"Connecticut","2004-2006","Over 25","Illicit Drug Dependence in the Past Year","Percent","Margins of Error",0.41
"Connecticut","2004-2006","Over 25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Illicit Drug Use",1.55
"Connecticut","2004-2006","Over 25","Illicit Drug Dependence or Abuse in the Past Year","Percent","Margins of Error",0.5
"Connecticut","2004-2006","Over 25","Illicit Drug Use in the Past Month","Percent","Illicit Drug Use",6.01
"Connecticut","2004-2006","Over 25","Illicit Drug Use in the Past Month","Percent","Margins of Error",1.16
